FORENAME,NAME,COUNTRY_OF_ORIGIN,BIRTH_DATE,GUEST_ANIMAL_ALLERGY,HOST_HAS_ANIMAL,GUEST_FOOD_CONSTRAINT,HOST_FOOD,HOBBIES,GENDER,PAIR_GENDER,HISTORY
Sarah,CHANG,GERMANY,2008-03-10,no,no,nonuts,gluten-free,reading;technology;gaming;hiking,female,female,
Andrew,SHEPPARD,SWEDEN,2008-06-19,yes,no,,vegetarian;gluten-free,chess;sports;fashion,male,,same
Jennifer,BOWERS,HUNGARY,2007-09-10,no,no,nonuts,vegetarian,films;robotics;anime;painting,female,,
Tracy,HOWARD,DENMARK,2007-05-01,no,yes,,halal;vegetarian;halal,chess;crafts,female,female,
Jonathan,CAMPBELL,JAPAN,2006-10-21,no,yes,nonuts,vegetarian;halal;vegetarian,chess;reading;theatre,male,female,other
Lisa,KING,ITALY,2008-08-31,no,no,halal;vegan,,science;travel,female,female,other
Victoria,PATRICK,ITALY,2007-01-10,yes,yes,,,robotics;chess,female,female,other
Emily,BLAIR,JAPAN,2009-04-23,no,yes,,vegetarian;halal;lactose,culture;crafts;books;anime,female,,other
Erin,CASTRO,EGYPT,2007-11-27,yes,no,gluten-free;lactose,,music;drawing,female,male,same
Jeffrey,CARR,DENMARK,2007-04-09,no,yes,lactose,,gaming;robotics,male,,
Vincent,WOODS,ITALY,2008-08-13,yes,yes,halal;nonuts,vegetarian;lactose,fashion;sports,male,,
David,TRUJILLO,ROMANIA,2008-09-25,yes,no,,vegetarian;halal,cooking;theatre;sports;culture,male,male,
Thomas,DAVIS,TURKEY,2008-02-05,no,no,,,crafts;travel;theatre;sports,male,male,other
Michelle,GLOVER,SWEDEN,2009-01-22,no,no,vegan;gluten-free,halal,science;dance;technology;culture,female,male,
April,SNYDER,ROMANIA,2007-10-26,yes,no,lactose;nonuts,nonuts;gluten-free,anime;culture;gaming,female,,other
David,NGUYEN,ITALY,2006-09-01,no,yes,nonuts;vegetarian,,fashion;theatre;hiking,male,female,other
Cheryl,BRADLEY,POLAND,2007-06-01,no,no,lactose;shellfish,vegetarian,reading;robotics;dance;science,female,,
Robert,THOMAS,SWITZERLAND,2008-09-16,no,no,,vegetarian;halal,animals;anime;robotics,male,,
Jerome,MILLER,ITALY,2007-10-06,no,yes,shellfish,vegetarian;halal,books;dance,male,female,same
Sheri,BOLTON,IRELAND,2008-06-25,yes,yes,vegan,lactose,music;reading;robotics,female,male,
Brian,ARNOLD,SPAIN,2006-12-06,yes,no,vegan,,films;painting;photography,male,male,
Kimberly,OLSEN,SPAIN,2008-09-12,no,yes,gluten-free,,music;travel;reading,female,female,other
Christina,LLOYD,EGYPT,2008-09-23,no,yes,shellfish;gluten-free,shellfish;lactose,chess;science;reading,female,,same
Laurie,WALLACE,POLAND,2008-12-08,yes,no,gluten-free,vegetarian,animals;theatre;travel,female,male,
Rebecca,STEWART,POLAND,2007-06-07,no,no,vegan,vegetarian,drawing;art;travel,female,male,same
Dylan,LOPEZ,ITALY,2007-03-13,no,no,nonuts,vegetarian,chess;books,male,,same
Amanda,ZAVALA,SPAIN,2007-07-04,no,yes,shellfish;halal,,dance;drawing;anime,female,female,
John,DAVIS,IRAN,2006-12-15,yes,yes,,,art;travel;films;music,male,,
Sherri,MCLEAN,JAPAN,2006-09-28,no,no,halal,vegetarian,art;culture;manga,female,,
Stephanie,LEBLANC,MOROCCO,2008-09-12,yes,yes,nonuts,halal,books;films,female,male,same
Michael,MASSEY,GERMANY,2008-08-18,yes,yes,,,films;fashion;chess,male,,
Donald,CAIN,BRAZIL,2007-04-26,yes,no,lactose;nonuts,gluten-free,books;painting;anime,male,,
Steven,LAWRENCE,EGYPT,2008-03-08,no,no,,vegan;nonuts,gaming;films;manga;hiking,male,male,other
Lauren,HAYES,ITALY,2009-03-17,yes,yes,,,hiking;music,female,male,same
Margaret,GRAVES,POLAND,2007-12-03,no,no,lactose;nonuts,vegetarian,technology;animals;theatre;photography,female,male,other
Angela,SALAZAR,TURKEY,2008-06-20,no,no,halal,,music;drawing;science;hiking,female,male,other
Laurie,ROGERS,ITALY,2007-03-18,no,no,lactose,lactose,science;painting,female,female,
David,DENNIS,EGYPT,2006-11-24,yes,yes,lactose,,theatre;robotics;photography,male,female,other
Michael,WATSON,IRELAND,2007-02-15,yes,no,shellfish,,books;animals,male,female,
Gary,CABRERA,POLAND,2006-10-30,no,yes,gluten-free;vegetarian,shellfish,travel;theatre,male,male,other
Rachel,WYATT,EGYPT,2007-05-01,yes,no,,nonuts,anime;sports;technology;reading,female,,
Amber,BERRY,MOROCCO,2008-09-02,yes,no,vegetarian,,books;culture,female,female,
Lance,JONES,ITALY,2006-12-06,no,no,,,manga;cooking;photography,male,male,
Madison,OBRIEN,SPAIN,2008-11-06,no,yes,lactose,lactose,cooking;music;books;dance,female,male,other
Barbara,DAVIS,MOROCCO,2006-11-23,yes,yes,,gluten-free,music;art,female,male,same
Andrew,SMITH,POLAND,2007-03-10,yes,yes,,vegetarian,fashion;robotics;music,male,,other
Nathan,MENDOZA,ROMANIA,2006-08-29,no,yes,gluten-free,nonuts;vegan,reading;fashion,male,male,same
Taylor,JOHNSON,TURKEY,2008-03-18,no,yes,vegetarian,vegetarian;halal;nonuts,films;gaming,female,female,
Marc,HUFF,JAPAN,2006-09-12,yes,yes,,gluten-free,anime;travel;gaming,male,female,other
Daniel,LUCAS,ITALY,2007-11-22,yes,yes,nonuts,lactose;vegan,cooking;hiking;painting;fashion,male,female,
Jeffrey,BROWN,MOROCCO,2008-05-21,yes,no,,gluten-free,reading;fashion;hiking,male,female,same
Andrew,GARCIA,SPAIN,2008-01-24,no,yes,vegan;lactose,shellfish;lactose,animals;cooking,male,male,same
Curtis,HOWARD,SWITZERLAND,2008-05-26,no,yes,shellfish,vegetarian;shellfish,hiking;music,male,male,other
Sara,SELLERS,SWITZERLAND,2007-02-14,yes,yes,vegetarian,nonuts;halal;vegetarian,gaming;cooking;robotics;animals,female,,same
Michael,HARRIS,BRAZIL,2006-08-25,yes,no,,,anime;travel;music,male,,same
Rachel,MOORE,IRAN,2007-02-02,no,yes,nonuts;vegan,halal,photography;travel;culture;hiking,female,,other
Gloria,KING,JAPAN,2008-12-09,yes,yes,,nonuts,technology;gaming;manga,female,male,other
Thomas,WADE,SPAIN,2006-06-16,no,no,nonuts;vegan,gluten-free,painting;gaming;science;sports,male,,other
John,ORTIZ,IRAN,2008-10-27,no,yes,nonuts;vegan,shellfish;lactose,books;robotics,male,female,other
Shelly,LOWERY,GERMANY,2009-02-28,no,no,,shellfish,reading;music;fashion;books,female,female,same
Howard,MONROE,ITALY,2007-06-20,yes,no,,,theatre;music,male,,same
Brittany,VAZQUEZ,DENMARK,2008-05-07,yes,no,,,crafts;robotics;dance,female,,same
Patrick,ROGERS,IRELAND,2006-08-05,no,yes,vegan,gluten-free;vegan,science;crafts,male,female,same
Kimberly,TAYLOR,BRAZIL,2008-06-13,no,yes,,halal,robotics;travel;films;art,female,female,other
Harold,ROBERTS,MOROCCO,2007-12-05,yes,yes,,nonuts;vegetarian,technology;animals;hiking;fashion,male,male,same
Leslie,MCCLAIN,JAPAN,2009-01-15,no,no,nonuts,shellfish;halal,culture;travel;science,female,male,same
Carlos,COLLINS,FRANCE,2008-02-29,yes,yes,halal,lactose;halal;vegetarian,crafts;reading,male,female,same
Ronald,MILLER,ITALY,2008-12-05,no,no,shellfish;vegan,,travel;reading;fashion;photography,male,,
Cheryl,COOK,HUNGARY,2007-06-02,no,no,lactose,shellfish,robotics;art;travel,female,male,same
Daniel,WEST,SWITZERLAND,2009-04-07,no,no,,shellfish,crafts;sports;photography,male,male,
Keith,PERRY,POLAND,2008-02-10,no,yes,vegetarian,halal;vegetarian,travel;science;art,male,male,same
Shane,BRADLEY,SWEDEN,2009-03-20,no,no,vegetarian,nonuts;halal;vegetarian,robotics;hiking,male,male,same
Michelle,MARTIN,SWEDEN,2006-09-03,no,yes,,,robotics;sports;science;drawing,female,,same
David,MOORE,TURKEY,2008-08-23,yes,no,,,painting;culture;sports,male,male,other
Stacey,ODONNELL,TURKEY,2008-12-20,yes,yes,,nonuts;gluten-free,fashion;painting,female,male,same
Nicole,HENSON,ROMANIA,2008-07-03,yes,yes,gluten-free;vegan,vegan,gaming;science;technology,female,,
Gabriel,MONROE,BRAZIL,2006-08-12,yes,yes,vegan;lactose,,fashion;theatre;manga,male,male,
Rhonda,GOLDEN,FRANCE,2008-03-01,no,no,nonuts,,chess;painting,female,male,
Chelsea,KEY,BRAZIL,2009-02-03,no,yes,vegan,lactose;halal,hiking;films;travel,female,,
William,MONROE,DENMARK,2006-12-15,no,no,halal;vegan,vegan,music;fashion;manga,male,female,other
William,MORALES,POLAND,2009-04-15,no,yes,,,travel;music,male,,
Jennifer,SMITH,GERMANY,2006-06-18,no,no,,,cooking;gaming;fashion,female,male,same
Mitchell,SMITH,EGYPT,2009-04-10,no,no,,nonuts,chess;drawing;anime;robotics,male,,same
Joseph,DAVIS,SPAIN,2006-11-27,no,no,,,gaming;theatre;anime;technology,male,,other
Lee,GONZALEZ,EGYPT,2007-09-08,yes,yes,,,drawing;anime,male,male,other
Douglas,GOOD,ITALY,2006-10-29,no,yes,shellfish;gluten-free,,theatre;travel;culture;dance,male,,other
Karen,LIVINGSTON,GERMANY,2009-01-26,no,yes,nonuts,vegan;shellfish,technology;fashion,female,male,
Angela,HILL,SWEDEN,2008-04-29,no,no,,halal;vegetarian,chess;books;travel,female,female,other
Rebecca,WILSON,GERMANY,2007-06-29,no,no,vegetarian;halal,shellfish,music;culture,female,,other
Casey,MEYER,TURKEY,2009-03-02,yes,no,nonuts,,manga;dance,male,female,
Maria,WILSON,POLAND,2007-01-21,no,yes,nonuts,,fashion;hiking;painting,female,male,same
Diana,SMITH,IRAN,2006-07-29,no,yes,,,travel;crafts;gaming;dance,female,female,
Christine,GREEN,SWEDEN,2007-09-27,yes,yes,lactose;vegan,,science;photography;anime;painting,female,,
Travis,MAYS,IRAN,2006-07-31,no,no,nonuts,,animals;robotics;culture,male,,same
Sarah,ALI,HUNGARY,2008-12-25,no,yes,,vegan;lactose,crafts;travel;chess,female,female,same
Matthew,JOSEPH,MOROCCO,2008-05-08,yes,yes,gluten-free;shellfish,shellfish,drawing;art;manga;culture,male,male,
Margaret,WATSON,SWITZERLAND,2008-09-08,yes,no,vegetarian;shellfish,,photography;cooking;painting,female,male,same
Cassandra,BENNETT,IRELAND,2007-08-22,no,no,,,music;animals;culture,female,female,
Alexa,HERNANDEZ,IRELAND,2007-10-26,no,yes,shellfish;vegan,vegan;nonuts,music;films;books,female,female,other
George,RICHARDSON,ITALY,2006-10-19,no,no,,,robotics;sports,male,male,other
